Player,Pos,MP,Min,PrgC,PrgP,xAG,xG,Gls,Gls-xG,PPA,Att 3rd,Name,Minutes played,Appearances,Tackles,Interceptions,Clearances,Ground duels won,Ground duels won %,Total duels won,Aerial duels won %,Aerial duels won,Total duels won %
Daniel Podence,"MF,FW",2,48,1,2,0.0,0.0,0,0.0,1,7,Daniel Podence,46,2,0,0,0,4,80.0,4,0.0,0,66.67
Harrison Reed,MF,8,61,1,3,0.1,0.0,0,0.0,1,31,Harrison Reed,89,8,5,1,2,7,46.67,8,33.33,1,44.44
Declan Rice,MF,13,1102,35,79,2.7,0.9,0,-0.9,12,271,Declan Rice,1105,13,21,10,16,33,47.14,49,61.54,16,51.04
Rodri,MF,2,65,0,4,0.0,0.0,0,0.0,1,24,Rodri,66,2,2,1,0,4,80.0,5,100.0,1,83.33
Guido Rodríguez,MF,14,823,2,27,0.1,0.1,0,-0.1,1,51,Guido Rodríguez,843,14,26,10,18,33,50.77,40,63.64,7,52.63
Morgan Rogers,"MF,FW",15,1221,45,50,3.2,3.2,4,0.7999999999999998,22,231,Morgan Rogers,1228,15,14,3,8,54,39.13,57,12.5,3,35.19
Ibrahim Sangaré,MF,3,212,0,8,0.0,0.0,0,0.0,1,20,Ibrahim Sangaré,214,3,15,2,2,19,67.86,24,62.5,5,66.67
Jeffrey Schlupp,"MF,DF",10,92,3,3,0.1,0.1,0,-0.1,1,37,Jeffrey Schlupp,108,10,2,0,1,3,50.0,6,42.86,3,46.15
Alex Scott,MF,8,263,5,32,0.2,0.1,0,-0.1,4,58,Alex Scott,260,8,16,6,4,31,65.96,32,16.67,1,60.38
Ryan Sessegnon,MF,1,5,0,0,0.0,0.0,0,0.0,0,1,Ryan Sessegnon,12,1,0,1,1,0,0.0,0,0.0,0,0.0
Bernardo Silva,"MF,FW",15,1196,56,70,3.7,2.4,1,-1.4,18,481,Bernardo Silva,1198,15,14,10,10,39,41.94,41,25.0,2,40.59
Oliver Skipp,MF,9,547,10,18,0.2,0.0,0,0.0,4,36,Oliver Skipp,544,9,6,6,8,19,48.72,24,83.33,5,53.33
William Smallbone,MF,4,241,2,8,0.3,0.3,0,-0.3,1,72,William Smallbone,241,4,7,0,2,9,52.94,10,50.0,1,52.63
Emile Smith Rowe,MF,15,1068,35,73,0.9,2.2,3,0.7999999999999998,6,265,Emile Smith Rowe,1081,15,20,7,7,41,53.95,45,36.36,4,51.72
Carlos Soler,MF,12,552,7,25,0.7,0.7,0,-0.7,7,97,Carlos Soler,551,12,6,2,5,15,28.85,19,44.44,4,31.15
Tomáš Souček,MF,14,985,3,37,0.5,2.7,4,1.2999999999999998,5,124,Tomáš Souček,986,14,16,9,33,25,43.1,74,57.65,49,51.75
Boubakary Soumaré,MF,9,475,3,20,0.0,0.1,0,-0.1,2,39,Boubakary Soumaré,478,9,12,3,5,24,57.14,30,75.0,6,60.0
Raheem Sterling,"MF,FW",6,148,10,6,0.2,0.5,0,-0.5,1,52,Raheem Sterling,152,6,1,0,0,7,38.89,7,0.0,0,35.0
Dominik Szoboszlai,MF,14,950,31,45,1.7,1.9,1,-0.8999999999999999,12,238,Dominik Szoboszlai,950,14,11,6,3,29,44.62,38,56.25,9,46.91
Jack Taylor,MF,10,291,6,23,0.5,0.4,0,-0.4,5,41,Jack Taylor,282,10,5,3,11,9,37.5,14,83.33,5,46.67
Youri Tielemans,MF,15,1301,18,104,3.8,1.4,0,-1.4,17,245,Youri Tielemans,1304,15,34,13,16,74,60.16,82,42.11,8,57.75
Sandro Tonali,MF,13,651,5,21,0.3,1.0,0,-1.0,2,94,Sandro Tonali,652,13,15,12,10,37,59.68,40,37.5,3,57.14
Ryan Trevitt,MF,1,4,0,0,0.0,0.0,0,0.0,0,1,Ryan Trevitt,9,1,1,0,0,1,100.0,1,0.0,0,100.0
Lesley Ugochukwu,MF,6,211,5,3,0.2,0.2,0,-0.2,1,16,Lesley Ugochukwu,209,6,5,2,1,9,42.86,12,75.0,3,48.0
James Ward-Prowse,MF,1,18,1,4,0.0,0.0,0,0.0,0,2,James Ward-Prowse,404,7,5,5,5,7,50.0,10,42.86,3,47.62
James Ward-Prowse,MF,1,18,1,4,0.0,0.0,0,0.0,0,44,James Ward-Prowse,404,7,5,5,5,7,50.0,10,42.86,3,47.62
James Ward-Prowse,MF,1,18,1,4,0.0,0.0,0,0.0,2,2,James Ward-Prowse,404,7,5,5,5,7,50.0,10,42.86,3,47.62
